"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"RJio","Indoor","4G","1","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","4G","1","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","Unknown","3","Satisfactory","30.1155468","78.2817661","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1155468","78.2817661","Uttarakhand"
"RJio","Indoor","4G","2","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","4G","2","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","Unknown","3","Satisfactory","30.1155512","78.2817616","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.11618797","78.28088954","Uttarakhand"
"Airtel","Indoor","2G","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","2","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","4G","2","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","30.11618797","78.28088954","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.11618797","78.28088954","Uttarakhand"
"VI","Indoor","4G","1","Poor Voice Quality","21.12320695","79.06784078","Maharashtra"
"RJio","Indoor","4G","1","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"RJio","Indoor","4G","1","Poor Voice Quality","19.22059493","72.84310503","Maharashtra"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"BSNL","Travelling","3G","2","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","30.1048115","78.2876534","Uttarakhand"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2206332","72.8428488","Maharashtra"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2206332","72.8428488","Maharashtra"
"RJio","Outdoor","4G","3","Satisfactory","30.104814","78.2876541","Uttarakhand"
"RJio","Outdoor","Unknown","3","Satisfactory","30.1185551","78.2787585","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.1155435","78.2817748","Uttarakhand"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2205195","72.8429265","Maharashtra"
"RJio","Indoor","4G","4","Satisfactory","26.8901794","75.8084991","Rajasthan"
"RJio","Indoor","4G","4","Satisfactory","26.9080697","75.799047","Rajasthan"
"RJio","Outdoor","4G","4","Satisfactory","26.9079039","75.7991259","Rajasthan"
"VI","Indoor","4G","2","Poor Voice Quality","21.18841844","79.0913295","Maharashtra"
"RJio","Indoor","4G","2","Poor Voice Quality","19.2205202","72.8429282","Maharashtra"
"RJio","Indoor","4G","1","Call Dropped","19.2211175","72.8458401","Maharashtra"
