"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2205818","72.8428556","Maharashtra"
"RJio","Outdoor","4G","1","Poor Voice Quality","22.7500288","75.9000488","Madhya Pradesh"
"RJio","Indoor","4G","1","Poor Voice Quality","19.227212","72.8554249","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","30.11082336","78.28889448","Uttarakhand"
"VI","Travelling","Unknown","5","Satisfactory","17.4694985","78.4433652","Telangana"
"VI","Indoor","Unknown","2","Poor Voice Quality","21.12306585","79.0677562","Maharashtra"
"VI","Travelling","Unknown","4","Satisfactory","17.4694885","78.4433541","Telangana"
"RJio","Indoor","4G","4","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Indoor","4G","4","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Indoor","4G","4","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Indoor","4G","4","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Indoor","4G","3","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Indoor","4G","4","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Indoor","Unknown","3","Satisfactory","30.11082336","78.28889448","Uttarakhand"
"VI","Travelling","Unknown","4","Satisfactory","17.4694936","78.4433639","Telangana"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2205143","72.8427569","Maharashtra"
"VI","Travelling","Unknown","5","Satisfactory","17.46949553","78.44335914","Telangana"
"VI","Travelling","Unknown","5","Satisfactory","17.3956324","78.5084674","Telangana"
"RJio","Indoor","4G","3","Satisfactory","30.10479799","78.2876502","Uttarakhand"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2201113","72.845086","Maharashtra"
"VI","Indoor","4G","1","Call Dropped","20.3816896","72.9082206","Gujarat"
"RJio","Indoor","4G","4","Satisfactory","26.8900173","75.8080949","Rajasthan"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","2","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","30.1163024","78.2808321","Uttarakhand"
"VI","Outdoor","Unknown","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","30.1155586","78.2817666","Uttarakhand"
"RJio","Indoor","4G","1","Poor Voice Quality","19.2201113","72.845086","Maharashtra"
