"operator","inout_travelling","network_type","rating","calldrop_category","latitude","longitude","state_name"
"Airtel","Outdoor","Unknown","1","Call Dropped","-1","-1","NA"
"Airtel","Outdoor","Unknown","1","Call Dropped","-1","-1","NA"
"Airtel","Outdoor","Unknown","1","Call Dropped","-1","-1","NA"
"Airtel","Outdoor","Unknown","1","Call Dropped","-1","-1","NA"
"Airtel","Outdoor","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Outdoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","30.11537845","78.28193691","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.11537845","78.28193691","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.11537845","78.28193691","Uttarakhand"
"RJio","Indoor","4G","1","Poor Voice Quality","30.11537845","78.28193691","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.11537845","78.28193691","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.11537845","78.28193691","Uttarakhand"
"BSNL","Travelling","3G","5","Satisfactory","26.87282447","80.99163036","Uttar Pradesh"
"BSNL","Travelling","3G","5","Satisfactory","26.87282447","80.99163036","Uttar Pradesh"
"VI","Travelling","4G","5","Satisfactory","16.4880254","80.5044757","Andhra Pradesh"
"VI","Outdoor","Unknown","1","Call Dropped","19.07128183","72.99646102","Maharashtra"
"VI","Outdoor","4G","1","Poor Voice Quality","20.380431","72.90798587","Gujarat"
"VI","Outdoor","Unknown","5","Satisfactory","19.05027118","72.9344875","Maharashtra"
"RJio","Travelling","4G","1","Call Dropped","-1","-1","NA"
"RJio","Travelling","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Outdoor","Unknown","5","Satisfactory","19.05027118","72.9344875","Maharashtra"
"RJio","Outdoor","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","-1","-1","NA"
"VI","Outdoor","Unknown","5","Satisfactory","19.05027118","72.9344875","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","30.10490757","78.28756952","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.1158489","78.2814468","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.10490757","78.28756952","Uttarakhand"
"VI","Outdoor","Unknown","1","Call Dropped","19.13608822","72.8521168","Maharashtra"
"RJio","Indoor","Unknown","3","Satisfactory","30.10490757","78.28756952","Uttarakhand"
"RJio","Indoor","4G","2","Poor Voice Quality","30.10490757","78.28756952","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.10490757","78.28756952","Uttarakhand"
"RJio","Travelling","4G","5","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","1","Poor Voice Quality","30.10490757","78.28756952","Uttarakhand"
"Airtel","Indoor","Unknown","5","Satisfactory","13.0967269","80.2825248","Tamil Nadu"
"VI","Outdoor","Unknown","5","Satisfactory","19.0654075","73.00268632","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.06539459","73.00267607","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.06539459","73.00267607","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.06577906","73.00284952","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.06552603","73.00291606","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.0721147","72.9973266","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.0717698","72.9967229","Maharashtra"
"RJio","Indoor","Unknown","3","Satisfactory","30.10490757","78.28756952","Uttarakhand"
"BSNL","Indoor","3G","1","Call Dropped","-1","-1","NA"
"Airtel","Indoor","Unknown","1","Call Dropped","-1","-1","NA"
"RJio","Outdoor","4G","2","Poor Voice Quality","30.1048094","78.2876505","Uttarakhand"
"VI","Outdoor","4G","4","Satisfactory","19.1002256","72.8448654","Maharashtra"
"VI","Outdoor","Unknown","5","Satisfactory","19.0719311","72.99728124","Maharashtra"
"VI","Outdoor","Unknown","4","Satisfactory","18.52766292","73.87244782","Maharashtra"
"RJio","Indoor","Unknown","3","Satisfactory","30.115587","78.2818036","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1155004","78.2819529","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1155004","78.2819529","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1155004","78.2819529","Uttarakhand"
"RJio","Outdoor","Unknown","3","Satisfactory","30.10781563","78.29723009","Uttarakhand"
"VI","Indoor","Unknown","4","Satisfactory","18.57919239","73.77556773","Maharashtra"
"RJio","Indoor","4G","2","Poor Voice Quality","30.1047978","78.2876635","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.1150066","78.3025995","Uttarakhand"
"Airtel","Indoor","Unknown","5","Satisfactory","13.09668948","80.28253879","Tamil Nadu"
"RJio","Indoor","Unknown","3","Satisfactory","30.1048137","78.2876607","Uttarakhand"
"RJio","Outdoor","4G","3","Satisfactory","30.1048137","78.2876607","Uttarakhand"
"RJio","Indoor","4G","4","Satisfactory","26.90385197","75.80352576","Rajasthan"
"Airtel","Indoor","Unknown","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","Unknown","4","Satisfactory","-1","-1","NA"
"Airtel","Indoor","Unknown","4","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","4","Satisfactory","26.89010657","75.80844141","Rajasthan"
"RJio","Indoor","4G","4","Satisfactory","26.89010657","75.80844141","Rajasthan"
"RJio","Travelling","4G","3","Satisfactory","-1","-1","NA"
"RJio","Outdoor","Unknown","3","Satisfactory","30.1101968","78.2926368","Uttarakhand"
"RJio","Travelling","4G","1","Poor Voice Quality","-1","-1","NA"
"VI","Indoor","Unknown","1","Call Dropped","18.578982","73.7755473","Maharashtra"
"RJio","Outdoor","4G","1","Poor Voice Quality","-1","-1","NA"
"RJio","Outdoor","4G","3","Satisfactory","-1","-1","NA"
"RJio","Indoor","4G","5","Satisfactory","12.95656896","77.48965509","Karnataka"
"RJio","Outdoor","4G","3","Satisfactory","30.1175838","78.2798261","Uttarakhand"
"RJio","Outdoor","4G","2","Poor Voice Quality","30.11064552","78.2970711","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1048976","78.28760156","Uttarakhand"
"RJio","Indoor","4G","4","Satisfactory","26.8901925","75.8085317","Rajasthan"
"VI","Outdoor","4G","5","Satisfactory","18.45831005","73.78441363","Maharashtra"
"RJio","Indoor","4G","5","Satisfactory","12.95649797","77.48962846","Karnataka"
"RJio","Outdoor","4G","3","Satisfactory","30.10677031","78.28923814","Uttarakhand"
"Airtel","Indoor","2G","3","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","2G","4","Satisfactory","-1","-1","NA"
"RJio","Travelling","4G","2","Poor Voice Quality","-1","-1","NA"
"RJio","Indoor","4G","3","Satisfactory","30.11555457","78.28178272","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1048147","78.2876454","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.1048145","78.2876496","Uttarakhand"
"RJio","Indoor","4G","1","Poor Voice Quality","-1","-1","NA"
"Airtel","Indoor","4G","1","Call Dropped","-1","-1","NA"
"Airtel","Indoor","4G","1","Call Dropped","-1","-1","NA"
"RJio","Outdoor","4G","2","Poor Voice Quality","-1","-1","NA"
"VI","Travelling","Unknown","4","Satisfactory","18.50133304","73.85816505","Maharashtra"
"RJio","Indoor","4G","3","Satisfactory","30.10469711","78.28759234","Uttarakhand"
"RJio","Indoor","Unknown","3","Satisfactory","30.10469711","78.28759234","Uttarakhand"
"RJio","Indoor","4G","3","Satisfactory","30.10469711","78.28759234","Uttarakhand"
